Date,Symbol,Adj. Close,Adj. Volume
9/19/2017,AAPL,158.73,20347352
9/20/2017,AAPL,156.07,51693239
9/21/2017,AAPL,153.39,36643382
9/22/2017,AAPL,151.89,46114424
9/25/2017,AAPL,150.55,43922334
9/26/2017,AAPL,153.14,35470985
9/27/2017,AAPL,154.23,24959552
9/28/2017,AAPL,153.28,21896592
9/29/2017,AAPL,154.12,25856530
10/2/2017,AAPL,153.81,18524860
10/3/2017,AAPL,154.48,16146388
10/4/2017,AAPL,153.4508,19844177
10/5/2017,AAPL,155.39,21032800
10/6/2017,AAPL,155.3,16423749
10/9/2017,AAPL,155.84,16200129
10/10/2017,AAPL,155.9,15456331
10/11/2017,AAPL,156.55,16607693
10/12/2017,AAPL,156,16045720
10/13/2017,AAPL,156.99,16287608
10/16/2017,AAPL,159.88,23894630
10/17/2017,AAPL,160.47,18816438
10/18/2017,AAPL,159.76,16158659
10/19/2017,AAPL,155.98,42111326
10/20/2017,AAPL,156.16,23612246
10/23/2017,AAPL,156.17,21654461
10/24/2017,AAPL,157.1,17137731
10/25/2017,AAPL,156.405,20126554
10/26/2017,AAPL,157.41,16751691
10/27/2017,AAPL,163.05,43904150
10/30/2017,AAPL,166.72,43923292
10/31/2017,AAPL,169.04,35474672
11/1/2017,AAPL,166.89,33100847
11/2/2017,AAPL,168.11,32710040
11/3/2017,AAPL,172.5,58683826
11/6/2017,AAPL,174.25,34242566
11/7/2017,AAPL,174.81,23910914
11/9/2017,AAPL,175.88,28636531
11/10/2017,AAPL,174.67,25061183
11/13/2017,AAPL,173.97,16828025
11/14/2017,AAPL,171.34,23588451
11/15/2017,AAPL,169.08,28702351
11/16/2017,AAPL,171.1,23497326
11/17/2017,AAPL,170.15,21665811
11/20/2017,AAPL,169.98,15974387
11/21/2017,AAPL,173.14,24875471
11/22/2017,AAPL,174.96,24997274
11/24/2017,AAPL,174.97,14026519
11/27/2017,AAPL,174.09,20536313
11/28/2017,AAPL,173.07,25468442
11/29/2017,AAPL,169.48,40788324
11/30/2017,AAPL,171.85,40172368
12/1/2017,AAPL,171.05,39590080
12/4/2017,AAPL,169.8,32115052
12/5/2017,AAPL,169.64,27008428
12/6/2017,AAPL,169.01,28224357
12/7/2017,AAPL,169.452,24469613
12/8/2017,AAPL,169.37,23096872
12/11/2017,AAPL,172.67,33092051
12/12/2017,AAPL,171.7,18945457
12/13/2017,AAPL,172.27,23142242
12/14/2017,AAPL,172.22,20219307
12/15/2017,AAPL,173.87,37054632
12/18/2017,AAPL,176.42,28831533
12/19/2017,AAPL,174.54,27078872
12/20/2017,AAPL,174.35,23000392
12/21/2017,AAPL,175.01,20356826
12/22/2017,AAPL,175.01,16052615
12/26/2017,AAPL,170.57,32968167
12/27/2017,AAPL,170.6,21672062
12/28/2017,AAPL,171.08,15997739
12/29/2017,AAPL,169.23,25643711
1/2/2018,AAPL,172.26,25048048
1/3/2018,AAPL,172.23,28819653
1/4/2018,AAPL,173.03,22211345
1/5/2018,AAPL,175,23016177
1/8/2018,AAPL,174.35,20134092
1/9/2018,AAPL,174.33,21262614
1/10/2018,AAPL,174.29,23589129
1/11/2018,AAPL,175.28,17523256
1/12/2018,AAPL,177.09,25039531
1/16/2018,AAPL,176.19,29159005
1/17/2018,AAPL,179.1,32752734
1/18/2018,AAPL,179.26,30234512
1/19/2018,AAPL,178.46,30827809
1/22/2018,AAPL,177,26023683
1/23/2018,AAPL,177.04,31702531
1/24/2018,AAPL,174.22,50562257
1/25/2018,AAPL,171.11,39661804
1/26/2018,AAPL,171.51,37121805
1/29/2018,AAPL,167.96,48434424
1/30/2018,AAPL,166.97,45137026
1/31/2018,AAPL,167.43,30984099
2/1/2018,AAPL,167.78,38099665
2/2/2018,AAPL,160.37,85436075
2/5/2018,AAPL,157.49,66090446
2/6/2018,AAPL,163.03,66625484
2/7/2018,AAPL,159.54,50852130
2/8/2018,AAPL,155.32,49594129
2/9/2018,AAPL,155.97,66723743
2/12/2018,AAPL,162.71,60560145
2/13/2018,AAPL,164.34,32104756
2/14/2018,AAPL,167.37,39669178
2/15/2018,AAPL,172.99,50609595
2/16/2018,AAPL,172.43,39638793
2/20/2018,AAPL,171.85,33531012
2/21/2018,AAPL,171.07,35833514
2/22/2018,AAPL,172.6,30504116
2/23/2018,AAPL,175.555,33329232
2/26/2018,AAPL,178.97,36886432
2/27/2018,AAPL,178.39,38685165
2/28/2018,AAPL,178.12,33604574
3/1/2018,AAPL,175,48801970
3/2/2018,AAPL,176.21,38453950
3/5/2018,AAPL,176.82,28401366
3/6/2018,AAPL,176.67,23788506
3/7/2018,AAPL,175.03,31703462
3/8/2018,AAPL,176.94,23163767
3/9/2018,AAPL,179.98,31385134
3/12/2018,AAPL,181.72,32055405
3/13/2018,AAPL,179.97,31168404
3/14/2018,AAPL,178.44,29075469
3/15/2018,AAPL,178.65,22584565
3/16/2018,AAPL,178.02,36836456
3/19/2018,AAPL,175.3,32804695
3/20/2018,AAPL,175.24,19314039
3/21/2018,AAPL,171.27,35247358
3/22/2018,AAPL,168.845,41051076
3/23/2018,AAPL,164.94,40248954
3/26/2018,AAPL,172.77,36272617
3/27/2018,AAPL,168.34,38962839
9/19/2017,GOOG,921.81,902415
9/20/2017,GOOG,931.58,1518166
9/21/2017,GOOG,932.45,1207656
9/22/2017,GOOG,928.53,1038551
9/25/2017,GOOG,920.97,1822881
9/26/2017,GOOG,924.86,1652848
9/27/2017,GOOG,944.49,2202959
9/28/2017,GOOG,949.5,959648
9/29/2017,GOOG,959.11,1533133
10/2/2017,GOOG,953.27,1222026
10/3/2017,GOOG,957.79,881562
10/4/2017,GOOG,951.68,881380
10/5/2017,GOOG,969.96,1202101
10/6/2017,GOOG,978.89,1142699
10/9/2017,GOOG,977,886700
10/10/2017,GOOG,972.6,956419
10/11/2017,GOOG,989.25,1663731
10/12/2017,GOOG,987.83,1259082
10/13/2017,GOOG,989.68,1143907
10/16/2017,GOOG,992,900751
10/17/2017,GOOG,992.18,1266399
10/18/2017,GOOG,992.81,1022521
10/19/2017,GOOG,984.45,1282755
10/20/2017,GOOG,988.2,1120038
10/23/2017,GOOG,968.45,1431886
10/24/2017,GOOG,970.54,1155231
10/25/2017,GOOG,973.33,1162606
10/26/2017,GOOG,972.56,1660850
10/27/2017,GOOG,1019.27,5125791
10/30/2017,GOOG,1017.11,2074619
10/31/2017,GOOG,1016.64,1324961
11/1/2017,GOOG,1025.5,1360900
11/2/2017,GOOG,1025.58,1008190
11/3/2017,GOOG,1032.48,1058037
11/6/2017,GOOG,1025.9,1119131
11/7/2017,GOOG,1033.33,1089887
11/9/2017,GOOG,1031.26,1236903
11/10/2017,GOOG,1028.07,719227
11/13/2017,GOOG,1025.75,878969
11/14/2017,GOOG,1026,947273
11/15/2017,GOOG,1020.91,859951
11/16/2017,GOOG,1032.5,1117578
11/17/2017,GOOG,1019.09,1350144
11/20/2017,GOOG,1018.38,894844
11/21/2017,GOOG,1034.49,1083715
11/22/2017,GOOG,1035.96,716661
11/24/2017,GOOG,1040.61,536958
11/27/2017,GOOG,1054.21,1284354
11/28/2017,GOOG,1047.41,1341000
11/29/2017,GOOG,1021.66,2414465
